EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
213314304,285.6530457,-29.8800621,2.666,93506,6885-2837-1,301-255103,,53,41,869,2.685,2.585,,,,,,,,,,
217183975,287.440979,-21.0236149,2.839,94141,6295-282-1,345-181481,,45,686,594,3.226,2.859,,,,,,,,,,
213994647,286.7350464,-27.6704216,3.075,93864,6881-1777-1,312-239349,,59,696,307,4.477,3.295,,,,,,,,,,
217136868,284.4324951,-21.1066551,3.279,93085,6294-2507-1,345-175727,,65,821,490,4.697,3.502,,,,,,,,,,
216778441,286.1707458,-21.7414951,3.567,93683,6295-2492-1,342-175740,,46,310,345,4.776,3.747,,,,,,,,,,
216354029,280.5420837,-22.4988861,4.456,,,338-171801,18421010-2229558,84,1001,765,,,4.456,3.369,,,,,,,,
216219308,283.5423889,-22.7448406,4.566,92761,6860-863-1,337-175720,,67,236,489,6.251,4.845,,,,,,,,,,
218354809,289.4086609,-18.9529076,4.702,94820,6304-334-1,356-182460,,28,1050,402,5.895,4.878,,,,,,,,,,
216258912,283.7797546,-22.6713371,4.726,92845,6860-304-1,337-176331,,67,235,698,6.352,4.993,,,,,,,,,,
215125430,294.1768188,-24.8836193,4.744,96465,6893-2132-1,326-195066,,1,490,285,4.528,4.598,,,,,,,,,,
214956066,288.8851013,-25.2566814,4.768,94643,6879-2498-1,324-199439,,38,892,402,5.415,4.859,,,,,,,,,,
216413647,281.5858765,-22.3921738,5.037,92111,6292-924-1,339-165773,,82,1058,547,6.961,5.366,,,,,,,,,,
217391953,284.3353271,-20.6563473,5.14,93057,6294-1245-1,347-163848,,65,409,437,5.14,5.054,,,,,,,,,,
214245810,292.4674377,-26.9856148,5.28,95865,6884-2463-1,316-230756,,13,893,341,6.623,5.488,,,,4932,3.405,-0.121,3.574,1.229,71.74,0.025
216758825,291.579834,-21.7766914,5.334,95564,6309-1875-1,342-183575,,23,892,229,6.806,5.569,,,,,,,,,,
215142368,285.6153259,-24.8468266,5.398,93498,6877-981-1,326-185514,,62,465,667,6.849,5.628,,,,4651,2.483,0.011,11.393,1.511,78.99,0
216861779,279.732666,-21.5928955,5.417,,,343-166175,18385584-2135343,84,15,352,,,5.417,,,,,,,,,
216993438,283.5003967,-21.3598461,5.448,92747,6293-2525-1,344-171341,,68,790,858,6.898,5.678,,,,,,,,,,
214677201,288.3069458,-25.9067879,5.493,94434,6878-943-1,321-213713,,37,683,788,7.143,5.765,,,,,,,,,,
214947565,289.1156311,-25.2758827,5.564,,,324-199711,19162773-2516334,38,721,485,,,5.564,,,,,,,,,
213043716,286.1044006,-31.0470791,5.59,93667,7410-3044-1,295-221502,,56,30,179,5.512,5.482,,,,,,,,,,
216407903,290.1589661,-22.4025364,5.595,95077,6309-2756-1,338-191152,,22,984,618,5.851,5.579,,,,,,,,,,
218177651,292.3266907,-19.2722549,5.629,,,354-177008,19291840-1916199,9,628,781,,,5.629,,,,,,,,,
213470603,291.2668457,-29.3093586,5.676,95456,6888-2980-1,304-257947,,35,433,235,7.196,5.921,,,,4804,3.076,-0.071,5.643,1.295,91.32,0.032
215201606,294.006897,-24.7190781,5.696,96406,6893-2131-1,327-186696,19360166-2443087,1,682,213,5.809,5.64,5.38,5.343,5.279,,,,,,,
213671853,286.8785095,-28.6368046,5.698,93925,6886-1547-1,307-255665,,54,890,133,7.622,6.027,,,,,,,,,,
215494409,284.9267273,-24.1014748,5.772,,,330-182458,18594241-2406052,61,934,981,,,5.772,,4.268,,,,,,,
215847238,295.0298462,-23.4290848,5.774,96760,6889-2261-1,333-211634,,3,790,713,7.001,5.957,,,,4832,2.872,-0.253,6.516,1.261,109.9,0.033
213838114,288.5747681,-28.1258163,5.801,,,,19141794-2807329,33,183,161,,,5.801,4.946,4.57,,,,,,,
217087047,283.8647156,-21.1947651,5.825,,,345-174415,18552753-2111411,65,741,969,,,5.825,,4.494,,,,,,,
217877915,287.4506226,-19.8036575,5.893,94144,6291-1794-1,351-171019,,48,301,536,7.28,6.109,,,,4688,2.806,-0.124,7.056,1.178,118.5,0.039
217968380,291.6073608,-19.6436367,5.904,,,,19262576-1938370,9,541,86,,,5.904,5.083,4.645,,,,,,,
215208762,284.8731689,-24.7036877,5.921,,,327-176236,18592957-2442131,63,788,964,,,5.921,5.027,4.419,,,,,,,
215067200,281.2066956,-25.0109177,5.921,91974,6863-330-1,325-187723,18444960-2500394,80,757,606,5.836,5.811,5.64,5.602,5.613,9210,3.606,0.035,4.326,3.012,177.3,0.051
218287369,283.4263,-19.0746784,5.941,,,355-168812,18534231-1904288,69,748,804,,,5.941,,,,,,,,,
218121095,282.7068481,-19.3737717,5.948,,,354-158222,18504964-1922255,70,806,735,,,5.948,,4.281,,,,,,,
214704971,289.9387512,-25.8398781,5.952,,,321-215622,19194530-2550235,39,277,960,,,5.952,5.028,4.608,,,,,,,
216322497,279.7589722,-22.5558643,5.982,,,338-169078,18390214-2233211,84,853,124,,,5.982,5.071,4.569,,,,,,,
217512838,285.3297119,-20.4440365,6.037,,,348-168996,19011912-2026385,47,31,475,,,6.037,,4.492,,,,,,,
219442656,287.436615,-16.7402306,6.052,,,,19094478-1644248,31,285,511,,,6.052,5.229,4.851,,,,,,,
218598946,283.4302063,-18.5093632,6.067,,,358-176040,18534325-1830337,72,574,876,,,6.067,,,,,,,,,
214079168,285.3478699,-27.4362602,6.119,,,313-241321,19012350-2726106,60,551,881,,,6.119,5.149,4.449,,,,,,,
214374897,283.117981,-26.6507702,6.123,92635,6868-429-1,317-212005,,73,71,535,7.25,6.285,,,,4903,3.057,-0.294,5.305,1.188,113.6,0.034
215620050,293.6414185,-23.8588295,6.124,96274,6889-1323-1,331-199609,,2,707,239,8.154,6.475,,,,,,,,,,
215457152,288.8884583,-24.1793518,6.153,94645,6875-3273-1,330-188482,19153322-2410455,43,547,82,6.772,6.237,5.296,5.101,4.936,,,,,,,
213867506,286.5809631,-28.0383148,6.161,,,,19061942-2802179,59,926,34,,,6.161,5.243,4.895,,,,,,,
219063200,289.2400208,-17.6063004,6.171,,,362-182120,19165761-1736227,29,747,369,,,6.171,5.221,4.758,,,,,,,
213926179,291.1257629,-27.8659439,6.176,95408,6884-2464-1,311-249607,19243018-2751573,34,52,675,5.889,6.011,6.284,6.385,6.392,14036,3.816,0.036,4.253,4.603,273.2,0.086
217394198,283.8786926,-20.6523952,6.209,,,347-162956,18553089-2039086,65,280,802,,,6.209,,4.818,,,,,,,
218568199,284.8615723,-18.5664349,6.211,93234,6286-180-1,358-180073,,50,212,837,7.358,6.378,,,,,,,,,,
216337004,284.6034546,-22.5294952,6.228,93140,6860-432-1,338-182053,18582483-2231462,66,137,775,6.224,6.141,5.962,5.93,5.907,,,,,,,
215633526,280.4651184,-23.8334236,6.234,91689,6858-2986-1,331-178324,18415162-2350001,83,92,337,6.445,6.205,5.79,5.706,5.687,7658,4.152,0.025,1.801,1.702,62.89,0
215388317,282.9326172,-24.3236599,6.248,,,329-174340,18514383-2419252,77,600,17,,,6.248,5.225,4.663,,,,,,,
217904720,282.053833,-19.7563667,6.26,,,352-152562,18481292-1945227,70,169,585,,,6.26,5.114,4.31,,,,,,,
218369781,288.6686707,-18.9260139,6.263,,,,19144048-1855336,27,590,149,,,6.263,5.361,4.969,,,,,,,
219269177,285.8327026,-17.1489067,6.266,,,365-163655,19031985-1708561,52,795,395,,,6.266,5.265,4.792,,,,,,,
218271463,285.7791443,-19.1030235,6.296,93543,6290-1216-1,355-174832,19030699-1906108,50,794,117,6.833,6.357,5.452,5.266,5.182,,,,,,,
216005524,281.0071411,-23.1358299,6.312,,,335-185518,18440171-2308089,83,556,953,,,6.312,5.405,4.896,,,,,,,
218315918,289.8580322,-19.0235329,6.313,,,355-182466,19192592-1901246,28,715,597,,,6.313,5.46,4.966,2519,-0.84,0.361,531.376,1.609,4180,0.355
215968295,280.028656,-23.204567,6.334,,,334-182600,18400686-2312165,83,743,157,,,6.334,5.322,4.88,,,,,,,
216902932,283.2846375,-21.5196819,6.335,,,343-176435,18530830-2131106,68,869,640,,,6.335,5.385,4.891,,,,,,,
218549258,282.189209,-18.6011486,6.346,92301,6285-193-1,357-163490,,71,613,626,7.354,6.536,,,,,,,,,,
217367389,290.0403748,-20.699522,6.363,,,347-173876,19200968-2041581,25,1110,94,,,6.363,5.355,4.827,,,,,,,
218679163,292.0219421,-18.3593082,6.389,95713,6302-2333-1,359-189884,,10,730,839,8.313,6.718,,,,,,,,,,
218198363,290.4046326,-19.2344456,6.392,95159,6305-1348-1,354-174463,19213711-1914042,28,348,942,6.137,6.236,6.416,6.487,6.518,,,,,,,
215230346,287.0606689,-24.6573715,6.403,93993,6878-781-1,327-179774,19081455-2439266,44,113,199,6.29,6.286,6.18,6.228,6.165,10391,3.714,0.021,4.235,3.402,220.3,0.069
213416232,287.8283997,-29.5022907,6.405,94272,6886-2564-1,303-260994,19111881-2930081,55,447,1036,6.235,6.272,6.234,6.288,6.243,,,,,,,
214528652,287.5844727,-26.2695217,6.422,,,,19102027-2616102,37,17,894,,,6.422,5.519,5.151,,,,,,,
215847988,294.9560852,-23.4276981,6.428,96729,6889-2260-1,333-211583,19394945-2325397,3,765,769,6.352,6.321,6.224,6.263,6.231,,,,,,,
215484435,281.8898315,-24.122261,6.43,,,330-176369,18473355-2407201,77,159,780,,,6.43,5.48,4.976,,,,,,,
218473951,286.7846985,-18.7381706,6.431,93887,6287-9-1,357-175513,19070833-1844174,49,507,139,6.243,6.293,6.308,6.34,6.34,11275,3.912,0.001,3.099,3.311,185.9,0.058
215976038,287.1852112,-23.1902847,6.449,94041,6874-1281-1,335-198180,,41,664,751,7.59,6.675,,,,5083,3.527,-0.136,3.002,1.155,82.24,0.027
216763219,280.0761108,-21.7688141,6.455,,,342-160827,18401827-2146075,84,254,583,,,6.455,5.478,5.067,,,,,,,
214056270,281.5160828,-27.4989986,6.461,92086,6867-640-1,313-233403,,76,405,161,7.557,6.617,,,,,,,,,,
213279447,287.6151428,-30.0071163,6.463,94184,7410-3048-1,300-249490,19102762-3000257,55,764,665,6.962,6.513,5.655,5.495,5.447,6892,4.099,0.051,1.797,1.505,53.42,0
214644797,281.7287598,-25.9854527,6.464,,,321-203210,18465490-2559075,79,498,745,,,6.464,5.477,5.107,,,,,,,
215614082,285.1048584,-23.8697052,6.472,,,,19002516-2352109,61,784,773,,,6.472,5.521,5.153,,,,,,,
218489693,284.059906,-18.7094574,6.477,92950,6286-1053-1,357-169454,,69,127,942,7.613,6.642,,,,,,,,,,
218195146,285.3551941,-19.2403488,6.487,,,,19012524-1914252,50,411,122,,,6.487,5.458,4.707,,,,,,,
217605737,286.8145752,-20.2813663,6.507,,,349-167255,19071549-2016530,48,957,759,,13.822,6.507,5.564,5.107,,,,,,,
216886987,284.0579529,-21.5481586,6.511,,,343-178399,18561389-2132533,65,1096,917,,,6.511,5.581,5.034,,,,,,,
218529637,283.2771912,-18.6368389,6.514,92682,6285-1889-1,357-167193,,72,735,943,8.082,6.769,,,,4446,2.312,0.07,13.509,1.45,188,0.062
216380557,291.430603,-22.4516678,6.528,95516,6309-901-1,338-192747,,24,810,570,8.094,6.782,,,,4762,2.87,-0.069,6.384,1.221,106.7,0.037
215280111,287.3948975,-24.5512257,6.535,,,,19093477-2433044,44,405,195,,,6.535,5.626,5.245,,,,,,,
215409039,287.9497375,-24.2803497,6.556,,,,19114793-2416492,44,919,267,,,6.556,5.642,5.263,,,,,,,
216149182,280.303894,-22.8724308,6.61,,,336-170925,18411294-2252206,83,961,464,,,6.61,5.679,5.295,,,,,,,
215404952,284.0188904,-24.2888851,6.64,,,,18560453-2417199,64,853,420,,,6.64,5.681,5.349,,,,,,,
219325917,289.6650085,-17.0178204,6.654,,,,19183960-1701041,29,212,741,,,6.654,,,,,,,,,
218894893,283.5608826,-17.9512825,6.656,,,,18541461-1757046,72,309,434,,,6.656,5.777,5.18,,,,,,,
217881658,283.4525146,-19.7971287,6.674,92733,6289-2467-1,352-156924,,69,933,177,8.316,6.944,,,,,,,,,,
218620655,281.4286194,-18.4691181,6.685,,,358-168630,18454285-1828090,71,27,305,,16.942,6.685,5.807,5.258,,,,,,,
218258704,282.6975403,-19.1260662,6.688,,,355-166378,18504740-1907337,70,868,950,,,6.688,5.736,5.277,,,,,,,
216354732,286.7428894,-22.4976158,6.699,93866,6295-378-1,338-186168,,41,530,36,7.907,6.879,,,,,,,,,,
218307919,283.9119568,-19.0381184,6.707,,,355-170191,18553887-1902173,69,343,701,,,6.707,5.668,5.175,,,,,,,
213356638,289.8463135,-29.7208099,6.707,,,302-260566,19192311-2943150,36,614,298,,,6.707,5.799,5.393,,,,,,,
215128511,284.5854492,-24.8768597,6.726,93132,6864-53-1,326-183711,18582049-2452367,63,717,690,6.661,6.622,6.322,6.337,6.294,10595,3.518,0.076,5.407,3.785,352.1,0.106
216570943,280.4889526,-22.1105251,6.733,,,340-165894,18415734-2206378,84,654,825,,,6.733,5.741,5.298,,,,,,,
216844143,284.9982605,-21.6241207,6.742,,,342-173289,18595957-2137269,66,804,194,,,6.742,5.808,5.453,,,,,,,
215136541,295.5943604,-24.8593102,6.751,96938,6894-1672-1,326-196071,19422263-2451334,4,62,797,6.893,6.704,6.216,6.141,6.12,7805,3.576,0.015,4.13,2.409,178.6,0.059
214203920,283.5776062,-27.0977097,6.753,,,315-222440,18541863-2705519,73,572,311,,,6.753,5.83,5.253,,,,,,,
216811387,280.84021,-21.6824455,6.761,,,342-163236,18432163-2140569,81,361,944,,,6.761,5.86,5.32,,,,,,,
213541773,290.7357788,-29.0646191,6.773,,6887-434-1,305-271153,,35,741,597,8.828,7.13,,,,,,,,,,
214850160,281.9099426,-25.4987774,6.778,,,323-194526,18473838-2529556,79,872,1020,,,6.778,5.918,5.519,,,,,,,
213949912,287.0426331,-27.7970448,6.79,,,312-239786,19081022-2747494,59,504,115,,,6.79,5.847,5.369,,,,,,,
218854516,289.1309814,-18.0265923,6.796,,,360-193276,19163143-1801357,29,970,45,,,6.796,5.964,5.525,,,,,,,
218249696,282.3973083,-19.1423378,6.808,92384,6289-1671-1,355-165410,18493536-1908324,70,619,1019,6.953,6.762,6.443,6.405,6.346,,,,,,,
216336259,280.2572632,-22.5308361,6.831,,,338-170831,18410174-2231509,84,957,529,,,6.831,5.845,5.508,,,,,,,
218113922,292.9274292,-19.3864746,6.838,96044,6306-311-1,354-177625,,12,333,946,8.765,7.167,,,,,,,,,,
215202403,280.4624634,-24.7173214,6.842,,,327-166920,18415098-2443023,80,321,100,,,6.842,5.663,5.015,,,,,,,
215578117,287.5371704,-23.9350605,6.864,,,331-192438,19100893-2356062,44,707,678,,,6.864,5.938,5.552,,,,,,,
214718078,288.4955139,-25.808075,6.864,,,321-213920,19135892-2548290,37,858,758,,,6.864,6.004,5.462,2538,-0.799,0.312,494.147,1.43,6497,0.516
218492607,282.7830505,-18.7041206,6.872,,,357-165522,18510793-1842149,71,1068,877,,,6.872,5.873,5.453,,,,,,,
216387346,280.516571,-22.4391975,6.875,,,338-171720,18420396-2226208,84,943,761,,,6.875,5.88,5.469,,,,,,,
218570097,291.2796631,-18.5627956,6.887,95458,6301-2370-1,358-191794,19250712-1833461,10,670,180,7.69,7.021,5.563,5.206,5.052,,,,,,,
214663559,282.6644287,-25.9393978,6.904,,,321-205216,18503946-2556219,78,302,682,,,6.904,5.927,5.501,,,,,,,
214777922,289.0473022,-25.6667652,6.921,94699,6879-760-1,322-204257,19161135-2540003,38,899,796,8.292,7.134,5.209,,4.549,,,,,,,
216633386,280.6454773,-21.9991684,6.946,,,341-167642,18423491-2159569,84,598,980,,,6.946,6.02,5.535,,,,,,,
218504327,287.2378235,-18.6827126,6.95,94062,6287-1535-1,357-176417,19085707-1840577,49,125,55,7.311,6.963,6.259,6.106,6.021,,,,,,,
213188017,287.949585,-30.3772545,6.959,,,299-231379,19114789-3022379,55,636,260,,,6.959,5.979,5.379,,,,,,,
216489096,280.609375,-22.2567158,6.97,,,,18422625-2215241,84,810,883,,,6.97,5.803,5.02,,,,,,,
214700715,282.4086914,-25.8501434,6.978,,,321-204733,18493809-2551004,78,443,855,,,6.978,5.957,5.562,,,,,,,
217226832,286.2659607,-20.9473915,6.987,,6295-567-1,346-173006,,46,626,995,8.936,7.322,,,,,,,,,,
213410372,290.5160828,-29.5230808,6.989,95203,6887-845-1,303-263729,19220385-2931231,35,1054,274,7.666,7.088,5.998,5.735,5.659,6212,4.089,-0.084,1.603,1.218,50.97,0
214179067,282.8600159,-27.1642284,6.99,92535,6868-1010-1,315-220845,18512638-2709514,73,449,879,8.418,7.215,5.076,,4.343,,,,,,,
213873758,293.1680603,-28.0198078,6.99,96124,6897-2051-1,310-253067,19324033-2801108,16,1052,742,7.815,7.13,5.917,5.588,5.495,5748,4.461,-0.028,0.977,1.009,27.23,0
213387881,290.414032,-29.6054649,6.996,95164,6887-1631-1,302-261026,19213936-2936195,36,1068,234,7.669,7.095,6.045,5.818,5.744,6351,4.248,-0.049,1.366,1.228,45.62,0
214303428,287.0337524,-26.8346558,6.999,93982,6882-1945-1,316-224883,19080809-2650046,59,212,938,8.148,7.165,5.457,5.018,4.849,,,,,,,
216964093,280.3503113,-21.4113293,7.003,,,343-168552,18412407-2124408,84,16,898,,,7.003,5.947,5.445,,,,,,,
218133414,281.8908081,-19.3517742,7.007,,,354-155610,18473379-1921065,70,148,977,,,7.007,6.017,5.537,,,,,,,
215420383,281.8682251,-24.2563477,7.041,,,329-172247,18472836-2415225,77,269,834,,,7.041,6.082,5.457,,,,,,,
217406674,285.605011,-20.630373,7.047,,,347-166441,19022521-2037492,47,195,712,,,7.047,5.894,5.086,,,,,,,
214581884,286.2976379,-26.138876,7.049,93736,6877-358-1,320-210501,,58,562,431,8.929,7.369,,,,,,,,,,
219734843,289.4165039,-15.9671392,7.073,94823,6296-1715-1,371-165732,19173995-1558016,32,84,455,7.261,7.038,6.478,6.387,6.369,,,,,,,
216598898,288.5365295,-22.0606365,7.077,94510,6308-2295-1,340-184272,19140876-2203382,42,146,183,7.064,6.987,6.806,6.792,6.754,,,,,,,
214287331,288.4848022,-26.8762569,7.08,94491,6882-240-1,316-226731,19135635-2652346,40,512,501,7.456,7.096,6.353,6.245,6.125,7145,4.267,-0.034,1.479,1.481,62.03,0
216088798,286.6322937,-22.9824715,7.095,,,336-185024,19063173-2258570,41,295,418,,,7.095,6.146,5.792,,,,,,,
218404213,289.5455933,-18.8638058,7.101,94859,6304-822-1,356-182691,19181094-1851498,28,912,367,6.947,6.972,6.936,6.973,6.924,11767,3.568,0.056,5.415,4.23,531.9,0.133
217524417,284.5448608,-20.4237614,7.103,93118,6290-2342-1,348-167202,18581076-2025254,65,267,201,6.789,6.93,7.128,7.204,7.259,16022,3.679,0.041,5.63,6.062,746.3,0.17
215456070,281.6762085,-24.181612,7.105,,,330-175974,18464228-2410538,77,156,965,,,7.105,6.057,5.539,,,,,,,
214166408,281.8875122,-27.1985722,7.107,,,315-218336,18473300-2711550,76,234,529,,,7.107,6.143,5.751,,,,,,,
216904976,279.9728088,-21.5159588,7.113,,,343-167229,18395348-2130572,84,10,566,,,7.113,6.093,5.641,,,,,,,
214989881,289.07901,-25.1812229,7.121,,,325-201916,19161895-2510524,38,719,395,,,7.121,6.212,5.61,,,,,,,
214817688,282.2553101,-25.5739079,7.133,,,323-195330,18490128-2534261,78,720,896,,,7.133,6.142,5.732,,,,,,,
216868293,280.3872375,-21.5814762,7.134,,,343-168672,18413293-2134530,84,172,883,,,7.134,6.101,5.688,,,,,,,
218396423,282.1219177,-18.8777409,7.135,,,356-165180,18482925-1852398,71,481,844,,,7.135,6.131,5.691,,,,,,,
218540716,291.2105103,-18.6167946,7.137,95440,6301-2237-1,357-183281,,10,694,107,9.053,7.464,,,,,,,,,,
215791467,281.4227905,-23.5340652,7.144,,,,18454146-2332026,82,114,990,,,7.144,6.037,5.3,,,,,,,
214190090,281.8525085,-27.1343689,7.144,,,315-218257,18472461-2708038,76,170,520,,,7.144,6.162,5.56,,,,,,,
216812347,279.8487854,-21.680727,7.147,,,342-160003,18392371-2140507,84,120,423,,,7.147,6.102,5.69,,,,,,,
216601260,280.4706421,-22.0565891,7.161,,,340-165836,18415295-2203237,84,603,825,,,7.161,6.161,5.773,,,,,,,
214782416,282.7279358,-25.6560383,7.163,,,322-194929,18505469-2539218,78,530,553,,,7.163,6.162,5.753,,,,,,,
213964589,289.2378845,-27.7553768,7.168,,,312-242230,19165708-2745194,33,798,33,,,7.168,6.309,5.874,,,,,,,
214062508,282.2154846,-27.4817162,7.194,,,313-235381,18485171-2728541,76,557,701,,,7.194,6.134,5.734,,,,,,,
215136617,285.3049622,-24.8591328,7.202,,,326-185002,19011318-2451329,62,539,912,,,7.202,6.3,5.684,,,,,,,
214701443,280.9801331,-25.8484516,7.203,,,,18435523-2550544,79,799,202,,,7.203,5.974,5.251,,,,,,,
213536762,286.4454346,-29.0811234,7.208,93769,6885-395-1,305-266335,19054690-2904521,53,874,388,7.067,7.083,6.954,7.015,6.971,11404,3.679,0.036,4.421,3.745,362.3,0.102
215454480,287.7492676,-24.1848698,7.217,94238,6874-1301-1,330-186990,19105983-2411056,44,793,406,8.426,7.397,5.537,5.077,4.92,,,,,,,
217746339,282.7746277,-20.034586,7.217,,,350-161015,18510590-2002045,70,675,151,,,7.217,6.359,5.795,,,,,,,
219438934,288.0401611,-16.7493095,7.22,,,367-160620,19120964-1644575,31,772,697,,,7.22,6.311,5.544,,,,,,,
213842862,288.8268433,-28.1117725,7.221,,,310-249409,19151844-2806423,33,376,219,,,7.221,6.245,5.817,,,,,,,
215920510,280.5595398,-23.2930737,7.225,91722,6859-379-1,334-184528,,83,534,556,9.336,7.594,,,,,,,,,,
218748526,281.9934082,-18.2286892,7.243,92245,6284-876-1,359-168872,,71,555,252,8.336,7.398,,,,,,,,,,
215942128,286.634491,-23.2534008,7.255,93832,6873-680-1,334-197070,19063228-2315121,41,213,649,8.595,7.462,5.411,4.926,4.72,,,,,,,
214328320,282.656311,-26.7704849,7.257,92463,6868-1648-1,317-211008,18503751-2646137,73,59,924,7.428,7.218,6.897,6.877,6.849,8616,4.215,0.019,1.779,1.921,112.7,0.037
216141368,280.3591003,-22.8865433,7.259,,,336-171077,18412619-2253116,83,935,505,,,7.259,6.262,5.955,,,,,,,
216116123,280.926239,-22.9323807,7.262,,,336-172969,18434229-2255566,83,751,944,,,7.262,6.337,5.924,,,,,,,
216461276,280.0028076,-22.3063927,7.265,,,339-160554,18400065-2218231,84,699,384,,,7.265,6.268,5.861,,,,,,,
